symbol,base_qty,side,quote_qty,account_name,price,realized_pnl,fee,trade_time,时间,净资产,份额,净值
ETHUSDT,0.006,CloseLong,25,binance-001,4161,-0.125,0.00674,1755631503382,2025/8/20 3:25:03,998.39446,1000,0.99839446
ETHUSDT,0.001,CloseLong,4.16,binance-001,4158,-0.0244,0.00112,1755632098159,2025/8/20 3:34:58,998.36894,1000,0.99836894
ETHUSDT,0.01,OpenLong,41.5,binance-001,4150,0,0.0112,1755633903090,2025/8/20 4:05:03,998.35774,1000,0.99835774
BTCUSDT,0.002,OpenLong,226,binance-001,112936,0,0.061,1755634475911,2025/8/20 4:14:36,998.29674,1000,0.99829674
BTCUSDT,0.001,CloseLong,113,binance-001,113091,-1.77,0.0305,1755635071025,2025/8/20 4:24:31,996.49624,1000,0.99649624
ETHUSDT,0.001,CloseLong,4.15,binance-001,4154,-0.0256,0.00112,1755635698152,2025/8/20 4:34:58,996.46952,1000,0.99646952
ETHUSDT,0.001,CloseLong,4.16,binance-001,4159,-0.0201,0.00112,1755636898099,2025/8/20 4:54:58,996.4483,1000,0.9964483
ETHUSDT,0.001,CloseLong,4.16,binance-001,4163,-0.0162,0.00112,1755638098077,2025/8/20 5:14:58,996.43098,1000,0.99643098
ETHUSDT,0.009,OpenLong,37.4,binance-001,4150,0,0.0101,1755640503086,2025/8/20 5:55:03,996.42088,1000,0.99642088
ETHUSDT,0.005,OpenLong,20.4,binance-001,4073,0,0.0055,1755647773132,2025/8/20 7:56:13,996.41538,1000,0.99641538
ETHUSDT,0.002,CloseLong,8.18,binance-001,4092,-0.163,0.00221,1755648308186,2025/8/20 8:05:08,996.25017,1000,0.99625017
ETHUSDT,0.001,CloseLong,4.11,binance-001,4108,-0.0654,0.00111,1755650708099,2025/8/20 8:45:08,996.18366,1000,0.99618366
ETHUSDT,0.001,CloseLong,4.12,binance-001,4117,-0.0564,0.00111,1755651908291,2025/8/20 9:05:08,996.12615,1000,0.99612615
ETHUSDT,0.001,CloseLong,4.11,binance-001,4113,-0.06,0.00111,1755654908162,2025/8/20 9:55:08,996.06504,1000,0.99606504
ETHUSDT,0.001,CloseLong,4.13,binance-001,4132,-0.0407,0.00112,1755656098476,2025/8/20 10:14:58,996.02322,1000,0.99602322
ETHUSDT,0.001,CloseLong,4.13,binance-001,4135,-0.0385,0.00112,1755656708147,2025/8/20 10:25:08,995.9836,1000,0.9959836
ETHUSDT,0.001,CloseLong,4.15,binance-001,4153,-0.02,0.00112,1755660908119,2025/8/20 11:35:08,995.96248,1000,0.99596248
ETHUSDT,0.001,CloseLong,4.17,binance-001,4174,0.000738,0.00113,1755670508090,2025/8/20 14:15:08,995.962088,1000,0.995962088
ETHUSDT,0.001,CloseLong,4.18,binance-001,4184,0.0108,0.00113,1755672308431,2025/8/20 14:45:08,995.971758,1000,0.995971758
ETHUSDT,0.004,CloseLong,16.8,binance-001,4193,0.081,0.00453,1755673508213,2025/8/20 15:05:08,996.048228,1000,0.996048228
ETHUSDT,0.018,CloseLong,75.6,binance-001,4202,0.52,0.0204,1755674108131,2025/8/20 15:15:08,996.547828,1000,0.996547828
ETHUSDT,0.004,CloseLong,16.8,binance-001,4203,0.121,0.00454,1755674708117,2025/8/20 15:25:08,996.664288,1000,0.996664288
ETHUSDT,0.003,CloseLong,12.6,binance-001,4205,0.0964,0.00341,1755677708165,2025/8/20 16:15:08,996.757278,1000,0.996757278
ETHUSDT,0.005,CloseLong,21.1,binance-001,4212,0.194,0.00569,1755678308813,2025/8/20 16:25:09,996.945588,1000,0.996945588
BTCUSDT,0.001,CloseLong,114,binance-001,113873,-0.991,0.0307,1755678870919,2025/8/20 16:34:31,995.923888,1000,0.995923888
ETHUSDT,0.005,CloseLong,21.1,binance-001,4220,0.235,0.0057,1755678913524,2025/8/20 16:35:14,996.153188,1000,0.996153188
ETHUSDT,0.004,CloseLong,16.9,binance-001,4229,0.225,0.00457,1755679508536,2025/8/20 16:45:09,996.373618,1000,0.996373618
ETHUSDT,0.018,OpenLong,75.3,binance-001,4185,0,0.0203,1755693231490,2025/8/20 20:33:51,996.353318,1000,0.996353318
ETHUSDT,0.006,CloseLong,25.2,binance-001,4203,0.165,0.00681,1755693824094,2025/8/20 20:43:44,996.511508,1000,0.996511508
