,TradeID,Direction,CreateTime,OrderSysID,OrderID,MemberID,PositionID,TradeUnitID,AccountID,ExchangeID,InstrumentID,ProductGroup,SettlementGroup,ProductID,OffsetFlag,Price,Volume,TradeTime,DeriveSource,PriceSource,UserID,OrderLocalID,MatchRole,Currency,PriceCurrency,ClearCurrency,Fee,FeeCurrency,ReserveFee,CloseProfit,ReserveProfit,Turnover,UseMargin,ReserveMargin,Leverage,OrderPrice,TriggerPrice,IsSelfTrade,Remark,BusinessNo,OpenPrice,InsertTime,APPID,CopyMemberID,CopyOrderID,CopyProfit,Position,PrePosition
22,1000156166585483,0,2025-06-16 14:34:14,1000573082608659,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000573034901865,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,BTCUSDT,SwapU,SwapU,,2,107591.2,3.677,1750084454,4,,,,0,USDT,USDT,USDT,237.36770544,USDT,0,-3451.9676,0,395612.8424,-1960.804374,,200,107591.2,107591.2,0,,1001629897430608,106652.4,1750084454,,,,0,0,
23,1000157891989635,1,2025-07-23 14:19:53,1000589978622148,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589978622148,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,SOLUSDT,SwapU,SwapU,,0,191.6,0.29,1753280393,0,,,,1,USDT,USDT,USDT,0.013891,USDT,0,0,0,55.564,0.55564,,100,191.42,,0,def,1001669526716479,191.6,1753280393,IOS,,,0,0.29,0
24,1000157891989636,1,2025-07-23 14:19:53,1000589978622148,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589978622148,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,SOLUSDT,SwapU,SwapU,,0,191.5,2562.75,1753280393,0,,,,1,USDT,USDT,USDT,122.69165625,USDT,0,0,0,490766.625,4907.66625,,100,191.42,,0,def,1001669526716479,191.5000113146888,1753280393,IOS,,,0,2563.04,-0.29
25,1000157854259319,0,2025-07-22 19:50:52,1000589599047224,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589514026039,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,ETHUSDT,SwapU,SwapU,,1,3666.24,40,1753213852,0,,,,1,USDT,USDT,USDT,36.6624,USDT,0,2082.4,0,146649.6,-743.66,,200,3666.33,,0,def,1001668627893153,3718.3,1753213852,IOS,,,0,120,-160
26,1000156166852160,1,2025-06-16 14:55:39,1000573088077524,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000573088077524,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,ETHUSDT,SwapU,SwapU,,0,2643.4,51.178,1750085739,0,,,,1,USDT,USDT,USDT,33.8209813,USDT,0,0,0,135283.9252,676.419626,,200,2643.31,,0,def,1001629910312633,2643.4,1750085739,IOS,,,0,51.178,0
27,1000157893850773,0,2025-07-23 15:14:22,1000589998304553,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589978622148,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,SOLUSDT,SwapU,SwapU,,1,189.83,512.6,1753283662,0,,,,1,USDT,USDT,USDT,24.3267145,USDT,0,856.04779991,0,97306.858,-981.6290579991,,100,189.94,,0,def,1001669574542872,191.5000113146888,1753283662,IOS,,,0,2050.44,-2563.04
28,1000156167068059,1,2025-06-16 15:13:15,1000573092307597,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000573092307597,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,SOLUSDT,SwapU,SwapU,,0,156.61,341.17,1750086795,0,,,,1,USDT,USDT,USDT,13.35765843,USDT,0,0,0,53430.6337,534.306337,,100,156.5,,0,def,1001629920240955,156.61,1750086795,IOS,,,0,341.17,0
29,1000156167093728,1,2025-06-16 15:15:21,1000573092811735,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000573092307597,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,SOLUSDT,SwapU,SwapU,,0,156.71,108.05,1750086921,0,,,,1,USDT,USDT,USDT,4.23312888,USDT,0,0,0,16932.5155,169.325155,,100,156.57,,0,def,1001629921418573,156.6340528026357,1750086921,IOS,,,0,449.22,-341.17
30,1000157858878644,1,2025-07-22 22:07:03,1000589644493371,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589644493371,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,DOGEUSDT,SwapU,SwapU,,0,0.26753,816466,1753222023,0,,,,1,USDT,USDT,USDT,54.60728725,USDT,0,0,0,218429.14898,2912.3886530667,,75,0.26744,,0,def,1001668735129970,0.26753,1753222023,IOS,,,0,816466,0
31,1000157858878645,1,2025-07-22 22:07:03,1000589644493371,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589644493371,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,DOGEUSDT,SwapU,SwapU,,0,0.26752,175582,1753222023,0,,,,1,USDT,USDT,USDT,11.74292416,USDT,0,0,0,46971.69664,626.2892885333,,75,0.26744,,0,def,1001668735129970,0.267528230105801,1753222023,IOS,,,0,992048,-816466
32,1000157858878646,1,2025-07-22 22:07:03,1000589644493371,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589644493371,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,DOGEUSDT,SwapU,SwapU,,0,0.26751,35718,1753222023,0,,,,1,USDT,USDT,USDT,2.38873055,USDT,0,0,0,9554.92218,127.3989624,,75,0.26744,,0,def,1001668735129970,0.267527596554079,1753222023,IOS,,,0,1027766,-992048
33,1000156167367220,1,2025-06-16 15:37:34,1000573098268571,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000573088077524,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,ETHUSDT,SwapU,SwapU,,0,2638.5,9.117,1750088254,0,,,,1,USDT,USDT,USDT,6.01380113,USDT,0,0,0,24055.2045,120.2760225,,200,2638.41,,0,def,1001629934191624,2642.659087818227,1750088254,IOS,,,0,60.295,-51.178
34,1000157896605319,0,2025-07-23 16:35:13,1000590027611530,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589978622148,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,SOLUSDT,SwapU,SwapU,,1,190,1.63,1753288513,0,,,,1,USDT,USDT,USDT,0.077425,USDT,0,2.44501844,0,309.7,-3.1214501844,,100,190.1,,0,def,1001669645595293,191.5000113146888,1753288513,IOS,,,0,2048.81,-2050.44
35,1000157896605320,0,2025-07-23 16:35:13,1000590027611530,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589978622148,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,SOLUSDT,SwapU,SwapU,,1,190.02,2048.81,1753288513,0,,,,1,USDT,USDT,USDT,97.32871905,USDT,0,3032.26198164,0,389314.8762,-3923.4713818165,,100,190.1,,0,def,1001669645595293,191.5000113146888,1753288513,IOS,,,0,0,-2048.81
36,1000157898154954,0,2025-07-23 17:20:17,1000590044714743,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589514026039,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,ETHUSDT,SwapU,SwapU,,1,3555.18,120,1753291217,0,,,,1,USDT,USDT,USDT,106.6554,USDT,0,19574.4,0,426621.6,-2230.98,,200,3555.27,,0,def,1001669687307689,3718.3,1753291217,IOS,,,0,0,-120
