MemberID,start date,end date,annualized_return,max_drawdown,sharpe_ratio,sortino_ratio,Number of Liquidations,profit_loss_ratio,winner_ratio
55ca7072-871c-4d7a-aaa4-84068a6ddc7d,2024/6/19 22:41,2025/8/9 19:26,0,1.0001,,0,36,2.3964,0.3566
2d8117bd-3286-4b9c-bdd9-634142375d3a,2025/7/1 12:51,2025/8/27 7:20,1069137768976.8264,0.4904,6.8987,359078584928.9702,0,3.1494,0.5574
6e71ab13-91a8-4af3-bf0e-c402faac5d54,2025/4/8 0:03,2025/9/5 15:01,2.0312,1.0004,3.069,0.4351,11,2.4214,0.7246
0861e1c6-f9e5-48dc-b34a-88bff5271467,2025/7/6 8:32,2025/9/8 0:00,14.518,0.0518,10.7186,304.5002,0,3.0388,0.8389
fe4b9cae-7e5d-456e-9635-2a0b5f63476c,2023/8/10 13:17,2025/9/8 0:00,2.9195,0.4603,0.7971,49.917,0,655.3212,0.8182
dd9659e9-9c7c-4504-9989-ca557b01ec5d,2024/2/21 15:11,2025/9/8 0:00,-0.9225,1.1318,1.2328,-0.2296,10,3.1869,0.6143
331249bb-0cfc-46d8-8e1b-0bf5c524815e,2025/1/20 7:45,2025/9/8 0:22,-0.4439,1,1.6988,-0.1265,1,2.3739,0.8388
5c0ce728-5343-4a5c-b31a-5439a46100fb,2025/7/18 13:12,2025/8/4 13:04,277546265662129.4,0.1163,10.5978,82925095183290.75,0,11.1474,0.8493
2dbfdd1a-abf5-4d12-90fa-539494694e41,2025/2/19 15:45,2025/9/7 23:52,14.9331,0.8894,2.4989,5.9506,0,1.3145,0.5319
b2d0a6aa-39ca-4e61-a622-a7e2e0783173,2025/7/14 5:00,2025/9/8 0:00,2.2778,1,-2.98,0,6,1.1106,0.6681
6abe71d0-f529-4aa3-a43d-f2372e8fdf1c,2024/12/16 18:24,2025/9/8 3:01,88.1212,0.6231,3.0446,54.965,0,2.2205,0.7338
d72cbdb3-0f28-416a-a08e-5cb52034f442,2024/8/5 9:05,2025/9/8 0:00,-0.6344,1,1.3637,-0.1668,1,3.1305,0.677
845d7164-1b4a-44a9-87dd-067bc3f9047b,2025/7/25 1:58,2025/9/7 15:50,5.710644233564939e+19,0.4503,6.6595,3.668675356237026e+19,0,167.6821,0.9306
aa718f48-ad29-4133-b405-f90b9d6c36f0,2025/7/28 15:01,2025/8/20 20:57,32737453.54,0.6093,4.3829,12003747.64,0,1.8582,0.5972
7eed69e7-dd11-4703-89fd-ce52454fd60c,2025/7/15 17:29,2025/8/12 14:10,-1,-1,4.3543,-1,1,1.6128,0.9
9d34e6b5-408a-4d07-a7f8-8c5d14b74cb5,2024/1/3 3:36,2025/8/22 10:45,1.437,0.9996,0.7887,0.4268,0,3.2921,0.7245
2af16590-3956-473d-80b5-818bdf78104c,2024/10/15 23:16,2025/9/8 0:00,4.1116,0.3076,2.4676,20.5662,0,1.8169,0.9658
613cd50e-e42b-4ff7-99e4-bd2155ce7a81,2025/6/7 17:49,2025/9/8 4:05,1448.0853,0.0191,6.9762,15010.2727,0,87.9596,0.9499
aaea60ba-d8c8-4ff4-96c9-883819e67a50,2025/7/24 7:16,2025/8/11 5:36,27721.0962,0.3499,2.7974,16318.0769,0,3.3229,0.7532
d3f11703-4ded-4059-90a5-5a7855a0884d,2025/5/9 17:13,2025/9/8 0:00,50.0284,0.9993,1.7362,11.9522,0,1.1981,0.5692
bbe5e9bd-8f0a-4d0f-964e-23ce7ff6fdf5,2025/6/21 23:27,2025/9/8 0:00,14.5125,0.3218,2.7853,17.0453,0,1.6453,0.5521
38275638-1f74-46f5-9d90-7cce3d7b1acd,2025/6/16 11:18,2025/9/8 0:00,86126.3666,1.1227,3.2378,10.5345,28,1.5927,0.3107
aee74f73-ce40-4771-88dd-32edefd65e17,2025/6/3 7:44,2025/9/8 4:00,8.197,0.0464,4.1206,173.0335,0,9.2452,0.8125
fb1711c3-e03f-41d0-80bd-ec082095d3f9,2025/7/29 4:33,2025/9/8 0:00,-1,0.9697,2.3755,-0.2453,0,1.049,0.7062
a6d6819f-cc52-4930-b87f-23646471b27c,2024/4/8 7:43,2025/9/7 4:32,-0.4579,1.2917,1.4598,0,6,0.9914,0.6931
9eeaf549-1e57-4ef4-9add-1b79846c61d0,2025/2/6 21:03,2025/9/8 0:00,3.1185,0.3426,2.3412,4.2815,0,1.3277,0.8804
60ff1fdc-4cfe-4134-9e6d-112951ab4761,2025/4/25 1:10,2025/9/8 4:00,824595745,0.9964,4.1939,245466816.8,1,5.3362,0.8132
d3c5010d-80d7-49b2-9770-0fb3d193f3b2,2024/11/22 16:46,2025/8/11 11:06,10.6702,1,,1.2562,0,2.9932,0.7105
bb56d926-8d44-4146-9fcd-64e0032267a5,2024/11/29 13:27,2025/9/8 0:00,-0.9599,1,,-0.1506,1,1.7611,0.2253
e925e79e-67cd-4717-a9ca-325cd3f558a6,2024/12/16 19:28,2025/9/8 3:45,-0.7631,1,0.8534,-0.4748,0,1.9245,0.7545
09d00c76-3e1f-401d-8fd6-745c284f62b1,2025/7/8 18:50,2025/9/7 9:18,2308309.484,0.7537,5.208,1110656.354,0,1.3176,0.6306
aa4bd590-1cb0-4c43-b1e6-e6bc87d6db1a,2025/2/11 16:17,2025/9/3 23:57,-0.9847,1.0001,1.3689,-0.1764,3,2.2431,0.5672
4e79eb20-9efc-4c25-8662-3fdd32370191,2024/12/3 13:27,2025/9/8 4:00,6.3378,1,2.0611,0.9949,0,5.6833,0.9125
c27758ea-04c8-4221-a292-b391f6797118,2024/6/19 7:47,2025/9/8 0:00,-0.6494,1.0001,-0.7332,0,3,1.5284,0.5513
1344adf1-a486-4fbe-8d46-bc159f69eab3,2025/8/9 5:01,2025/9/5 13:10,2.4254628160901576e+16,0.1089,4.8448,,0,40.7826,0.6875
27f2b154-18aa-405d-a14f-73521d9908d9,2025/6/9 16:28,2025/9/6 20:08,38.0366,0.9077,3.0821,11.5755,0,3.4394,0.6145
52306630-2df4-4bc4-b6dc-5f41c71bfc64,2025/6/30 9:30,2025/9/7 9:36,4898492.694,1.053,4.9454,952955.2966,1,2.1245,0.6118
061677c3-8196-4202-86da-c61c75bc4f36,2025/7/10 15:17,2025/9/8 4:00,10360513477.5479,0.9996,5.497,2894375943.9775,0,10.0393,0.742
